ARCHgutm,Assay,class,pair,6,9,11,14,26,42,46,49,53,54,64,81,89,91,104,106,107,108,121,133,137,138,153,162,174,177,180,181,185,191,196,200,201,202,206,208,209,211,213,214,215,227,229,234,236,239,245,246,280,283,285,294,298,306,309,316,318,328,331,336,338,340,342,355,359,362,363,366,370,372,376,402,404,406,410,412,417,425,428,429,431,432,438,506,507,603,610,700,704,801,804,806,809,812,815,817,819,910,911,1108,1118,1123,1200,1201,1300,1302,1303,1305,1500,1503,1504,1505,1507,1509,1511,1512,1513,1519,1520,1522,1528,1536,1539,1540,1541,1544,1545,1546,1547,1548,1549,1551,1552,1553,1556,1557,1558,1559,1565,1567,1572,1573,1577
G,G_M,Mother,36,,3.74E-05,3.38E-05,3.92E-05,0.003225938,,,8.23E-05,,0.001866665,,3.37E-05,,,0.000150385,0.184536806,,,3.99E-05,,,,,2.92E-05,7.87E-06,,,,0.126064847,0.049872771,0.012424402,,0.000263998,5.50E-05,0.001052537,,5.09E-05,,,,1.22E-05,,,,,,,,,2.83E-05,,,5.46E-05,,,,1.08E-05,,,1.33E-05,,,,,8.01E-05,,1.95E-05,,,,,1.58E-05,,,4.17E-05,,7.19E-06,1.15E-05,,,1.10E-05,,,,,,,,,9.26E-06,0.001026898,,0.000915263,3.03E-05,6.72E-06,0.042195681,,,,8.90E-06,0.000387501,,,0.000805606,2.45E-05,1.54E-05,7.46E-06,,,,7.81E-06,,2.02E-05,4.22E-05,0.000392092,9.16E-05,0.000151636,,,5.48E-05,,3.32E-05,9.41E-05,,,,,5.62E-05,,,,,4.29E-05,,,,,0.000125284,,,,,
H,H_M,Mother,4,,5.88E-06,1.10E-05,0.00418972,0.114292176,7.12E-05,,0.00778308,,0.001515162,4.52E-06,1.37E-05,,0.000121112,0.001249013,0.005015584,,,3.67E-06,3.23E-06,,0.010332109,0.01113752,,0.000610659,1.72E-05,,0.000102422,0.135128514,0.031566142,0.006580593,,3.81E-05,,0.051031872,,6.07E-06,,3.46E-05,,,,,,,,,1.90E-05,9.47E-06,1.11E-05,4.24E-06,2.83E-05,7.58E-06,,7.54E-06,,,,,,,,,,0.000248711,,,,3.00E-06,0.057621094,,,0.000186082,3.05E-06,9.11E-05,,0.000899096,1.07E-05,1.53E-05,,0.004509942,,,,,,,,3.69E-05,,0.001934875,8.08E-06,0.001901866,7.35E-06,2.75E-06,0.227220494,,,2.73E-06,,3.77E-05,4.59E-06,,,1.06E-05,1.00E-05,,,,1.23E-05,0.000370159,,3.42E-05,2.53E-05,2.15E-05,,0.003743665,,,0.000118312,2.59E-06,,0.000102853,0.003867404,,2.80E-06,1.63E-05,,,,,,0.000314355,,,4.41E-06,,,3.35E-06,,,,
H,H_C,Child,4,0.001647994,0.068631501,0.076083591,,,0.002606313,,1.52E-05,,,0.000273763,0.071616402,,,,,,0.000100561,,0.312074656,,,,2.07E-05,,,,,,2.89E-05,,,0.229743377,5.06E-06,0.015418655,0.000136531,,,,,,,8.07E-06,,,0.00011454,,,0.000180856,,6.71E-06,,0.08811777,,,,,,,,,7.12E-05,,0.000206403,1.28E-05,,,,,,,6.52E-05,8.19E-06,1.31E-05,,0.001115761,,6.43E-05,,,,,,,,,,1.26E-05,,8.34E-06,0.002565701,,0.002643373,,,,,,,2.90E-05,4.98E-05,0.008437592,1.31E-05,0.003052291,0.108854654,,0.003152002,0.004242184,,,,,2.08E-05,0.094002737,0.000181065,0.269142325,0.010886242,,9.71E-05,2.61E-05,,,,,,1.81E-05,,0.160625503,7.29E-06,0.002243394,3.66E-05,1.33E-05,0.000193604,,0.002198346,0.018795418,,0.360165824,,,,,
B_I,I_M,Mother,5,,,,4.64E-05,0.080288529,,,,,0.001153125,,8.18E-05,,,,0.103129402,,,,,4.13E-05,0.000114196,,,,,,,0.065242711,0.013466384,0.046555393,,,,0.000158146,,,,,,,,,,,,,,,,,0.000113328,,,,,,,,,,,,,,,,,,,,,,0.000233746,,,,,,,,,,,,,,,,,0.01170635,,0.009490531,,,0.010824678,,,,,,,,0.000253725,,,,,,,,,0.000101413,,0.000282369,0.000967503,,6.93E-05,,0.000612061,,0.000194896,,,,,,,,,,,,,,0.000109657,,,,,,,
B_I,I_C,Child,5,,0.004466784,0.005015116,0.005671357,0.009421846,0.003748685,,0.009907909,3.27E-06,0.005658756,0.000216132,0.007065079,,,,0.046591426,,1.41E-05,,5.84E-06,0.007272454,,,2.26E-06,,7.66E-06,2.49E-06,,0.026500862,0.00791327,,6.32E-06,0.017493955,2.49E-05,0.037206601,0.000273147,8.46E-05,,,,,,,2.81E-05,2.41E-06,1.50E-05,4.99E-06,,1.39E-05,3.58E-05,2.67E-06,1.15E-05,0.005741165,,,,,,2.19E-06,0.000635905,,0.002995808,,0.000342898,0.001475764,,0.000535502,2.15E-05,,,,8.82E-06,,8.78E-06,6.39E-05,,,3.96E-05,0.000362857,,0.003280114,2.06E-06,,4.81E-06,5.81E-05,,,,,,0.029829983,3.76E-06,0.055782118,2.51E-05,,,,,4.83E-06,,6.64E-05,,,0.000139956,0.004450461,,0.003848256,,,,,,9.20E-06,0.003676495,6.00E-05,4.51E-05,0.007307503,,,,,,0.001544977,0.00406331,,0.000771696,0.000357952,0.005702352,2.70E-05,,3.36E-05,0.002734557,1.39E-05,4.14E-06,0.000157829,0.036518085,,1.01E-05,,,6.42E-06,,2.76E-05
B_J,J_M,Mother,6,7.10E-05,0.019628992,0.020762326,0.000239583,0.017562911,,,0.000525095,7.47E-06,5.88E-06,9.80E-05,0.019873895,,,,0.088482523,,6.62E-05,,,,2.10E-05,2.01E-05,,,0.001347004,0.000683428,,0.307366831,0.000398217,,0.001970484,0.001473014,7.69E-06,0.005046828,,5.46E-05,,,,4.61E-06,,1.91E-05,6.73E-05,1.65E-05,8.72E-05,2.75E-06,,0.000299415,0.002667614,1.59E-05,,0.027626986,,,,,,2.54E-06,,,,,,5.59E-05,,,2.85E-06,,2.10E-05,,,5.00E-05,2.08E-05,0.000189291,5.29E-05,,0.000148001,,,0.000148349,4.82E-06,,0.000195476,,,,3.84E-06,1.53E-05,,,6.00E-06,,3.52E-05,,7.84E-05,,,3.01E-05,2.89E-05,6.00E-05,0.011500958,4.63E-06,0.001775452,0.024281332,2.42E-05,,,,,0.002477177,,7.48E-06,0.027706872,8.37E-05,0.000646991,3.19E-05,,0.000123937,0.000107772,,2.00E-05,,0.000208047,,9.33E-06,,0.000984517,,8.22E-05,0.002230784,,0.001412821,4.27E-05,7.78E-06,0.000622798,,0.00105025,,,,,1.05E-05
B_J,J_C,Child,6,6.61E-05,0.020516038,0.024197277,0.000224386,0.018178038,,,0.000535186,1.03E-05,7.64E-06,,0.024260458,,,,0.095071753,,7.49E-05,0.000368935,,,2.30E-05,9.75E-06,1.50E-05,,0.001543675,0.000670065,3.24E-06,0.321132677,0.000451491,,0.002237142,0.001659067,,0.004941713,,6.30E-05,,,,3.95E-06,,1.67E-05,6.30E-05,1.53E-05,0.000101032,4.23E-06,,0.000246513,0.002877508,1.37E-05,,0.029244722,,,,,,3.52E-06,1.03E-05,,,,,,,9.57E-06,3.93E-06,,1.22E-05,2.94E-05,,7.69E-05,2.46E-05,0.000300714,7.36E-05,,0.000250706,,,0.000180748,4.68E-06,,0.000346009,,,,7.71E-06,2.08E-05,,,7.72E-06,,,,0.000124439,,,0.00010774,3.77E-05,7.56E-05,0.019504777,8.38E-06,0.003684911,0.040735026,9.20E-05,,,,,0.004586887,3.44E-06,4.01E-06,0.040222078,0.000107216,0.000805272,1.20E-05,,0.000263836,,,1.99E-05,,0.000248998,,1.88E-05,,0.00146147,,0.000171394,0.00567312,,0.000742873,4.46E-05,2.31E-05,0.000707611,,0.001738215,,,,,3.49E-05
K,K_M,Mother,7,,6.45E-05,8.21E-05,0.001702041,0.000808225,,,6.70E-05,,0.027090093,,6.15E-05,,,0.000720079,0.071262819,,,3.43E-05,,3.10E-06,,,,4.99E-06,,,,0.140614465,0.019004502,0.108090742,,3.54E-05,,0.000199759,,,,8.81E-05,,6.42E-06,,,4.80E-06,,,3.20E-06,,,3.76E-05,,1.39E-05,6.35E-05,,,0.000137901,,,,,,,,,9.84E-05,,,,3.47E-06,6.31E-06,,5.01E-06,,4.77E-05,6.41E-05,,0.000293262,6.01E-06,5.83E-06,,2.30E-05,,,,8.26E-06,,,,,,0.033283118,2.83E-06,0.032391384,,,0.004446036,,,,,0.000170182,,,0.000162983,8.98E-05,1.92E-05,,,,,6.34E-05,,7.38E-06,,9.47E-05,1.06E-05,0.000491984,0.000179765,3.84E-06,6.83E-05,2.40E-06,1.68E-05,1.93E-05,0.001126494,,,,9.40E-06,,,3.86E-06,,0.000145739,,,3.04E-05,2.26E-06,3.97E-06,5.81E-06,,,,
K,K_C,Child,7,,0.033053656,0.040193748,,0.002427174,,,,4.43E-06,0.006036365,,0.037690335,,,,0.001060368,,0.000143573,,,,,,,,,8.57E-06,,0.002323603,0.129038409,0.003755437,,0.098616935,1.50E-05,0.060700952,0.000701743,,,,,,,,6.25E-06,,1.67E-05,1.58E-05,5.92E-06,9.25E-05,5.52E-05,,0.000108542,0.0458957,4.91E-06,,,,2.16E-05,,,,,,,9.55E-05,,,,0.000103677,,6.24E-05,2.12E-05,,1.05E-05,,,,6.03E-06,,,,,,,0.000332149,,8.50E-06,0.000149435,4.73E-06,0.000478009,0.00394919,8.27E-06,0.004030477,7.48E-05,,0.004088707,,,8.95E-06,1.55E-05,4.74E-05,1.51E-05,0.000212717,,0.065829643,0.000119421,3.52E-05,,,,,1.12E-05,9.47E-06,0.065617171,0.003639364,0.011787454,0.013287996,,,6.99E-05,,0.000130242,,,,,,0.079870886,,,6.26E-05,1.75E-05,2.69E-05,,3.36E-05,0.01108391,,0.017188798,,,,,
L,L_M,Mother,8,7.25E-05,0.002538613,0.002470137,0.001379806,0.89648804,,2.50E-06,0.001330438,,0.005197871,,0.002827177,,,,0.115746136,0.001525264,4.63E-06,6.25E-06,,,,,,0.00011573,,,6.71E-06,0.296463683,0.117787173,0.054773501,4.18E-06,0.000439689,,0.001754858,,,,7.58E-06,,,,,,4.65E-06,3.56E-06,,4.08E-06,5.13E-05,1.42E-05,,3.01E-06,0.002951522,,3.29E-05,,5.18E-05,,,0.000252354,,,,,0.000383587,,,,8.70E-06,,9.92E-05,,5.04E-05,,0.000259855,4.63E-05,,6.62E-05,2.78E-05,,0.000829263,,,,0.000118321,,3.69E-06,,,,0.059594132,1.80E-05,0.060321204,,4.30E-06,1.10E-05,,,3.45E-06,,5.88E-05,5.44E-06,,0.001384097,0.004439469,4.04E-05,,,7.91E-06,,,,1.15E-05,0.00440941,0.001126954,1.60E-05,0.000298813,0.001927452,,0.00045504,,,,0.002359397,,4.82E-06,2.20E-05,0.000350905,2.88E-06,8.12E-05,1.09E-05,,8.95E-05,,,,2.12E-05,1.66E-05,,,,4.11E-06,
